label,object
01_frame_00043.jpg.xml,bending
01_frame_00075.jpg.xml,normal
01_frame_00232.jpg.xml,normal
01_frame_00295.jpg.xml,normal
01_frame_00368.jpg.xml,normal
01_frame_00710.jpg.xml,bending
01_frame_00715.jpg.xml,bending
01_frame_00717.jpg.xml,bending
01_frame_00718.jpg.xml,bending
01_frame_00719.jpg.xml,bending
01_frame_00720.jpg.xml,bending
01_frame_00721.jpg.xml,bending
01_frame_00723.jpg.xml,bending
01_frame_00724.jpg.xml,bending
01_frame_00731.jpg.xml,bending
01_frame_00754.jpg.xml,bending
01_frame_00768.jpg.xml,normal
01_frame_00771.jpg.xml,normal
01_frame_00792.jpg.xml,bending
01_frame_00808.jpg.xml,bending
01_frame_00810.jpg.xml,bending
01_frame_00815.jpg.xml,bending
01_frame_00821.jpg.xml,bending
01_frame_00882.jpg.xml,bending
01_frame_00890.jpg.xml,bending
01_frame_00891.jpg.xml,bending
01_frame_00894.jpg.xml,bending
01_frame_00905.jpg.xml,bending
01_frame_00912.jpg.xml,bending
01_frame_00918.jpg.xml,bending
01_frame_00921.jpg.xml,bending
01_frame_00926.jpg.xml,bending
01_frame_00930.jpg.xml,bending
01_frame_00944.jpg.xml,bending
01_frame_00971.jpg.xml,bending
01_frame_00973.jpg.xml,bending
01_frame_01034.jpg.xml,bending
01_frame_01492.jpg.xml,bending
01_frame_01494.jpg.xml,bending
01_frame_01508.jpg.xml,bending
01_frame_01621.jpg.xml,bending
01_frame_01806.jpg.xml,bending
01_frame_01811.jpg.xml,bending
01_frame_01818.jpg.xml,bending
01_frame_01821.jpg.xml,bending
01_frame_01825.jpg.xml,bending
01_frame_01829.jpg.xml,changing glass
01_frame_02024.jpg.xml,normal
01_frame_02206.jpg.xml,bending
01_frame_02218.jpg.xml,bending
01_frame_02227.jpg.xml,bending
01_frame_02230.jpg.xml,bending
01_frame_02236.jpg.xml,bending
01_frame_02241.jpg.xml,bending
01_frame_02246.jpg.xml,bending
01_frame_02256.jpg.xml,bending
01_frame_02398.jpg.xml,bending
01_frame_02399.jpg.xml,bending
01_frame_02424.jpg.xml,changing glass
01_frame_02436.jpg.xml,bending
01_frame_02437.jpg.xml,bending
01_frame_02440.jpg.xml,bending
01_frame_02447.jpg.xml,bending
01_frame_02449.jpg.xml,bending
01_frame_02507.jpg.xml,bending
01_frame_02517.jpg.xml,bending
01_frame_02521.jpg.xml,bending
01_frame_02610.jpg.xml,bending
01_frame_02615.jpg.xml,bending
01_frame_02732.jpg.xml,bending
01_frame_02733.jpg.xml,bending
01_frame_02735.jpg.xml,bending
01_frame_02945.jpg.xml,bending
01_frame_02996.jpg.xml,bending
01_frame_03056.jpg.xml,bending
01_frame_03077.jpg.xml,bending
01_frame_03087.jpg.xml,bending
01_frame_03105.jpg.xml,bending
01_frame_03108.jpg.xml,bending
01_frame_03129.jpg.xml,bending
01_frame_03138.jpg.xml,bending
01_frame_03155.jpg.xml,bending
01_frame_03156.jpg.xml,bending
01_frame_03163.jpg.xml,bending
01_frame_03166.jpg.xml,bending
01_frame_03174.jpg.xml,bending
01_frame_03203.jpg.xml,bending
01_frame_03205.jpg.xml,bending
01_frame_03206.jpg.xml,bending
01_frame_03207.jpg.xml,bending
01_frame_03209.jpg.xml,bending
01_frame_03214.jpg.xml,bending
01_frame_03220.jpg.xml,bending
01_frame_03566.jpg.xml,normal
01_frame_03637.jpg.xml,bending
01_frame_03747.jpg.xml,normal
01_frame_03753.jpg.xml,normal
02_frame_00586.jpg.xml,normal
02_frame_00832.jpg.xml,normal
02_frame_01323.jpg.xml,bending
02_frame_01556.jpg.xml,normal
02_frame_01565.jpg.xml,normal
02_frame_01571.jpg.xml,normal
02_frame_01637.jpg.xml,bending
02_frame_01650.jpg.xml,bending
02_frame_01676.jpg.xml,bending
02_frame_01678.jpg.xml,bending
02_frame_01690.jpg.xml,bending
02_frame_01693.jpg.xml,bending
02_frame_01699.jpg.xml,bending
02_frame_01701.jpg.xml,bending
02_frame_01705.jpg.xml,bending
02_frame_01707.jpg.xml,bending
02_frame_01714.jpg.xml,bending
02_frame_01716.jpg.xml,bending
02_frame_01873.jpg.xml,bending
02_frame_02026.jpg.xml,bending
02_frame_02051.jpg.xml,bending
02_frame_02052.jpg.xml,bending
02_frame_02475.jpg.xml,bending
02_frame_02489.jpg.xml,bending
02_frame_02500.jpg.xml,bending
02_frame_02505.jpg.xml,bending
02_frame_02506.jpg.xml,bending
02_frame_02513.jpg.xml,bending
02_frame_02518.jpg.xml,bending
02_frame_02524.jpg.xml,bending
02_frame_02560.jpg.xml,bending
02_frame_02562.jpg.xml,bending
02_frame_02566.jpg.xml,bending
02_frame_02567.jpg.xml,bending
02_frame_02570.jpg.xml,bending
02_frame_02571.jpg.xml,bending
02_frame_02572.jpg.xml,bending
02_frame_02580.jpg.xml,bending
02_frame_02584.jpg.xml,bending
02_frame_02621.jpg.xml,normal
02_frame_02669.jpg.xml,bending
02_frame_02671.jpg.xml,bending
02_frame_02674.jpg.xml,bending
02_frame_02678.jpg.xml,bending
02_frame_02679.jpg.xml,bending
02_frame_02684.jpg.xml,bending
02_frame_03107.jpg.xml,normal
02_frame_03853.jpg.xml,bending
02_frame_03961.jpg.xml,bending
02_frame_03976.jpg.xml,bending
vp1_0_10.jpg.xml,drinking
vp1_0_11.jpg.xml,drinking
vp1_0_117.jpg.xml,eating
vp1_0_118.jpg.xml,normal
vp1_0_119.jpg.xml,normal
vp1_0_12.jpg.xml,drinking
vp1_0_120.jpg.xml,normal
vp1_0_13.jpg.xml,drinking
vp1_0_130.jpg.xml,drinking
vp1_0_131.jpg.xml,drinking
vp1_0_132.jpg.xml,drinking
vp1_0_133.jpg.xml,drinking
vp1_0_134.jpg.xml,drinking
vp1_0_135.jpg.xml,drinking
vp1_0_136.jpg.xml,drinking
vp1_0_137.jpg.xml,drinking
vp1_0_138.jpg.xml,drinking
vp1_0_139.jpg.xml,drinking
vp1_0_14.jpg.xml,drinking
vp1_0_140.jpg.xml,drinking
vp1_0_141.jpg.xml,drinking
vp1_0_142.jpg.xml,drinking
vp1_0_143.jpg.xml,drinking
vp1_0_144.jpg.xml,drinking
vp1_0_145.jpg.xml,drinking
vp1_0_146.jpg.xml,drinking
vp1_0_147.jpg.xml,drinking
vp1_0_148.jpg.xml,drinking
vp1_0_149.jpg.xml,drinking
vp1_0_15.jpg.xml,drinking
vp1_0_150.jpg.xml,normal
vp1_0_151.jpg.xml,normal
vp1_0_152.jpg.xml,normal
vp1_0_158.jpg.xml,normal
vp1_0_159.jpg.xml,normal
vp1_0_16.jpg.xml,drinking
vp1_0_163.jpg.xml,drinking
vp1_0_164.jpg.xml,drinking
vp1_0_165.jpg.xml,drinking
vp1_0_166.jpg.xml,drinking
vp1_0_167.jpg.xml,drinking
vp1_0_168.jpg.xml,drinking
vp1_0_169.jpg.xml,drinking
vp1_0_17.jpg.xml,drinking
vp1_0_170.jpg.xml,drinking
vp1_0_171.jpg.xml,drinking
vp1_0_172.jpg.xml,drinking
vp1_0_173.jpg.xml,drinking
vp1_0_174.jpg.xml,drinking
vp1_0_175.jpg.xml,drinking
vp1_0_176.jpg.xml,drinking
vp1_0_177.jpg.xml,drinking
vp1_0_18.jpg.xml,drinking
vp1_0_19.jpg.xml,drinking
vp1_0_20.jpg.xml,drinking
vp1_0_220.jpg.xml,eating
vp1_0_221.jpg.xml,eating
vp1_0_222.jpg.xml,eating
vp1_0_230.jpg.xml,eating
vp1_0_231.jpg.xml,eating
vp1_0_267.jpg.xml,drinking
vp1_0_268.jpg.xml,drinking
vp1_0_269.jpg.xml,drinking
vp1_0_27.jpg.xml,eating
vp1_0_270.jpg.xml,drinking
vp1_0_271.jpg.xml,drinking
vp1_0_272.jpg.xml,drinking
vp1_0_273.jpg.xml,drinking
vp1_0_274.jpg.xml,drinking
vp1_0_275.jpg.xml,drinking
vp1_0_276.jpg.xml,drinking
vp1_0_277.jpg.xml,drinking
vp1_0_278.jpg.xml,drinking
vp1_0_279.jpg.xml,drinking
vp1_0_28.jpg.xml,eating
vp1_0_280.jpg.xml,drinking
vp1_0_29.jpg.xml,eating
vp1_0_3.jpg.xml,drinking
vp1_0_4.jpg.xml,drinking
vp1_0_45.jpg.xml,normal
vp1_0_46.jpg.xml,eating
vp1_0_5.jpg.xml,drinking
vp1_0_50.jpg.xml,normal
vp1_0_6.jpg.xml,drinking
vp1_0_7.jpg.xml,drinking
vp1_0_8.jpg.xml,drinking
vp1_0_83.jpg.xml,eating
vp1_0_84.jpg.xml,eating
vp1_0_85.jpg.xml,eating
vp1_0_86.jpg.xml,eating
vp1_0_87.jpg.xml,eating
vp1_0_9.jpg.xml,drinking
vp1_1_113.jpg.xml,normal
vp1_1_114.jpg.xml,drinking
vp1_1_115.jpg.xml,drinking
vp1_1_116.jpg.xml,drinking
vp1_1_117.jpg.xml,drinking
vp1_1_118.jpg.xml,drinking
vp1_1_119.jpg.xml,drinking
vp1_1_120.jpg.xml,drinking
vp1_1_121.jpg.xml,drinking
vp1_1_122.jpg.xml,drinking
vp1_1_123.jpg.xml,drinking
vp1_1_124.jpg.xml,drinking
vp1_1_125.jpg.xml,drinking
vp1_1_126.jpg.xml,drinking
vp1_1_127.jpg.xml,drinking
vp1_1_128.jpg.xml,drinking
vp1_1_129.jpg.xml,drinking
vp1_1_130.jpg.xml,drinking
vp1_1_131.jpg.xml,drinking
vp1_1_132.jpg.xml,drinking
vp1_1_133.jpg.xml,drinking
vp1_1_134.jpg.xml,drinking
vp1_1_135.jpg.xml,drinking
vp1_1_136.jpg.xml,normal
vp1_1_137.jpg.xml,drinking
